"author","n","aff"
"Holt V",1,"none"
"Holtmann M",1,"none"
"Holttinen T",4,"none"
"Hönekopp J",1,"none"
"Hoq M",1,"none"
"Horton R",1,"none"
"Hotaling J M",1,"none"
"Hough D",1,"none"
"Houk C P",2,"none"
"Hruz P W",5,"ACPeds"
"Hsu C Y",1,"none"
"Huang X",1,"none"
"Hughes B",1,"none"
"Hughes I A",1,"none"
"Huirne J",1,"none"
"Huit T Z",1,"none"
"Hummer A",1,"none"
"Hunkeler E",1,"none"
"Hunter P K",4,"SEGM"
"Hunter R M",1,"none"
"Hunter S K",1,"none"
"Hurtado Murillo F",1,"none"
"Hutchinson A",3,"SEGM"
"Ibrahim A M",1,"none"
"Ibrahim S",3,"SEGM-funded"
"Ielapi N",1,"none"
"in collaboration with the participants in the International Consensus Conference on Intersex organized by the Lawson Wilkins Pediatric Endocrine Society and the European Society for Paediatric Endocrinology",1,"none"
"Insalaco M E",1,"none"
"InwardsBreland D J",1,"none"
"Ion R",2,"none"
"Ioverno S",1,"none"
"Irwig M S",2,"WPATH SOC8"
"Irwin L",1,"none"
"Isaksson J",1,"none"
"Islam N",1,"none"
"Itne U",1,"none"
"Iwamoto S J",2,"none"
"Iyra P",1,"none"
"Jack S",1,"none"
"Jackson L",2,"none"
"Jacobs L A",1,"WPATH SOC8"
"Jacobsen I L",1,"none"
"Jacobsen L M",1,"none"
"Jacobson R",1,"none"
"JacotGuillarmod M",1,"none"
"Janssen A C",1,"WPATH SOC8"
"Januś D",1,"SEGM-funded"
"Jarvis S W",2,"none"
"Jayasinghe Y",1,"none"
"Jeftovic M",1,"none"
"Jehle D V",1,"none"
"Jektvik A",1,"none"
"Jenkins P",2,"none"
"Jern P",1,"none"
"Jessen R S",1,"none"
"Joel D",1,"none"
"Joffe A R",1,"SEGM-funded"
"Johal L",1,"none"
"Johnson K",1,"WPATH SOC8"
"Johnson T W",1,"WPATH SOC8"
"Jones Q",1,"none"
"Jorgensen S C J",6,"SEGM-funded"
"Joseph T",1,"none"
"JuarezColunga E",1,"none"
"Junejo M H",1,"none"
"Kablinger A S",1,"none"
"KailaVanhatalo M",1,"none"
"Kaiser A",1,"none"
"Kajavuori P",1,"none"
"KalGala R",1,"none"
"Kaliebe K",2,"none"
"Kalkan A T",1,"none"
"Kalkwarf H J",1,"none"
"Kaltiala R",14,"SEGM-funded"
"Kang C O",1,"none"
"Kapoor S",1,"none"
"Kappesser K",1,"none"
"Karalexi M",1,"none"
"Karamanis G",1,"none"
"Karasic D H",1,"WPATH SOC8"
"Karukivi M",1,"none"
"Karvonen M",2,"SEGM-funded"
"Kasper S",1,"none"
"Kaufmann U",1,"none"
"Kebapçı M N",1,"none"
"Kekkonen V",1,"none"
"Kelley C E",1,"none"
"Kelly A",1,"none"
"Kelsey M M",1,"none"
"Kennedy E",1,"none"
"Kennedy N",2,"none"
"Kenny D T",1,"SEGM"
"Kerr K F",1,"SEGM-funded"
"Kerschner H",1,"none"
"Kettula K",1,"none"
"Keuroghlian A S",1,"none"
"Keyes O",1,"none"
"Khadr S",1,"none"
"Khan N K",1,"none"
"Khosravi M",1,"none"
"Kia H",3,"none"
"Kiely E",1,"none"
"Kinitz D J",1,"none"
"Kirkpatrick M",1,"none"
"Kivimäki P",1,"none"
"Klaver M",1,"none"
"Klein D A",1,"none"
"Kliebhan J",1,"none"
"Klink D T",10,"WPATH SOC8"
"Knoll M M",1,"none"
"Knudson G A",1,"WPATH SOC8"
"Kocabas G Ü",1,"none"
"Kocolas I",1,"none"
"Kohls G",1,"none"
"Koi P",1,"none"
"Kölle S",1,"none"
"Komulainen K",1,"none"
"König L",1,"none"
"Korbmacher M",1,"none"
"Korkmaz E S",1,"none"
"Köroglu E P",1,"none"
"Korte A",1,"none"
"Koseda E",1,"none"
"Kozlowska K",5,"none"
"Kraav S L",1,"none"
"Kranz G S",1,"none"
"Krepp J",1,"none"
"Kreukels B P C",13,"WPATH SOC8"
"Kriström B",1,"none"
"Kronström K",1,"none"
"Krude H",1,"none"
"Kuiper B",1,"none"
"KulatungaMoruzi C",6,"SEGM-funded"
"Kuler L E",1,"WPATH SOC8"
"Kung K T F",1,"none"
"Kvach E J",1,"WPATH SOC8"
"Kwan D",1,"none"
"Laberthonniere C",1,"none"
"Laborda T J",1,"none"
"LacombeDuncan A",1,"none"
"Lahl J",1,"none"
"Laidlaw M K",5,"ACPeds"
"Lal M",3,"none"
"Lalezari S",1,"none"
"Lam J S H",4,"none"
"Lami A",1,"none"
"Lammers C",1,"none"
"Landegren N",2,"none"
"Landén M",2,"none"
"Lane A",1,"none"
"Lane C",1,"none"
"Langton T",8,"none"
"Lanzenberger R",1,"none"
"Lapauw B",1,"none"
"Lash T L",1,"none"
"Laveway K",1,"none"
"Lawrence D",1,"none"
"Lawson M L",1,"none"
"Ledrait A",1,"none"
"Lee B T",1,"none"
"Lee J Y",1,"none"
"Lee P A",2,"none"
"Lee W Y",2,"none"
"Leef J",1,"none"
"Leffler J",3,"none"
"Lehmkuhl U",1,"none"
"Leibowitz S F",1,"WPATH SOC8"
"Leichtling G",1,"none"
"Leino U",1,"none"
"Lelievre F",1,"none"
"Lem M",1,"none"
"Lemma A",2,"none"
"Leonhardt A",1,"none"
"Leshin R A",1,"none"
"Leung A",1,"none"
"Levine S B",11,"SEGM-funded"
"Levy S",1,"none"
"Li G",3,"none"
"Li T G F",1,"none"
"Liao L M",1,"none"
"Librach C L",1,"none"
"Liedl B",1,"none"
"Ligges C",1,"none"
"Ligges M",1,"none"
"Lightfoot M",1,"none"
"Lin A",1,"none"
"Lin S J",1,"none"
"Lin Y",1,"none"
"Lindauer R J L",1,"none"
"Lindberg N",2,"none"
"Lingiardi V",1,"none"
"LinSu K",1,"none"
"Lishak V",1,"none"
"Lisso F",1,"none"
"Littman L",6,"ICGDR"
"Lobato M I R",1,"none"
"Loo S S",1,"none"
"Looijenga L H J",1,"none"
"Lopez D L",1,"none"
"Lopez X",1,"none"
"Lorentzen F",1,"none"
"Lothstein L M",2,"none"
"Lubensky M E",1,"none"
"Lucas R",1,"none"
"Ludvigsson J F",1,"none"
"Lund J L",2,"none"
"Lunn M R",1,"none"
"MacKinnon K R",5,"none"
"MacMillan L",1,"none"
"MacMullin L N",1,"none"
"Madec F X",2,"none"
"Maguire A M",3,"none"
"Maheshwari C",1,"none"
"Maidarti M",1,"none"
"Main K M",1,"none"
"Malacova E",1,"none"
"Malone W J",6,"SEGM"
"Malouf M A",1,"WPATH SOC8"
"Malouf P",1,"none"
"Mann N",1,"none"
"Mannerström H",2,"none"
"Marchiano L",3,"SEGM"
"Marmara J",1,"none"
"Marshall G",1,"none"
"Martinerie L",1,"none"
"Maruca F",1,"none"
"Masic U",2,"none"
"Mason J W",7,"SEGM"
"Massey R",1,"WPATH SOC8"
"Massie J P",1,"none"
"Masson C",2,"SEGM-funded"
"Mathews B",1,"none"
"Mathisen R",1,"none"
"Mathur P",1,"none"
"Mattawanon N",1,"none"
"Matthews D D",1,"none"
"Mattila A",1,"none"
"Mavromato M",1,"none"
"Maxwell J",1,"none"
"May T",1,"none"
"Mayer E A",1,"none"
"Mayhew A C",1,"none"
"Mazhari R",1,"none"
"Mazur T",2,"WPATH SOC8"
"Mazza A",1,"none"
"Mazza E",1,"none"
"McArthur K",1,"none"
"McCaffrey J",1,"none"
"McCarthy M",1,"none"
"McCartney M",3,"none"
"McClure G",2,"none"
"McCracken C",1,"none"
"McCune N",1,"none"
"McDaniel M A",1,"none"
"McDeavitt K",4,"none"
"McDougall R J",2,"none"
"McGuire J K",2,"none"
"McHugh P R",1,"none"
"McIntosh B",1,"none"
"McKay K",1,"none"
"McLachlan C",1,"WPATH SOC8"
"McLamore Q",2,"none"
"McLaughlin K A",2,"none"
"McLaughlin M",1,"none"
"McNamara M",1,"none"
"McPherson S",1,"none"
"Meads C",2,"none"
"Meece M S",1,"none"
"Meier A",1,"none"
"Meier C",1,"none"
"Meinck F",1,"none"
"Meisman A R",1,"none"
"Mejía Pérez D L",1,"none"
"Mendoza C D",1,"none"
"Meriggiola M C",1,"none"
"Mesnard B",1,"none"
"Metsutnan V",1,"none"
"Metzger D L",1,"none"
"Meyer I H",1,"none"
"Meyer W J",1,"none"
"MeyerBahlburg H F L",4,"WPATH SOC8"
"Mhlanga M",1,"none"
"Middelberg T",1,"none"
"Midgen M",1,"none"
"Miller M S",1,"none"
"Miller W L",1,"none"
"Millet C",1,"none"
"Millington K",2,"none"
"Millman A",1,"none"
"Mirabella M",1,"none"
"Miroshnychenko A",3,"SEGM-funded"
"Mishra S",1,"none"
"Mitchell A",2,"none"
"Mitchell I",1,"SEGM-funded"
"Mitchell L",1,"none"
"Mokashi A",1,"none"
"Money J",1,"none"
"Monge T",1,"none"
"MonroyGonzalez A G",1,"none"
"Monstrey S J",1,"WPATH SOC8"
"MontagnerMoraes S",1,"none"
"Montante S",3,"SEGM-funded"
"Montoya E R",1,"none"
"Mookerjee V G",1,"none"
"Moore J K",2,"none"
"Moraes R S",2,"none"
"Morandini J S",1,"none"
"Moreau K L",1,"none"
"Moreira Allgayer R M",1,"none"
"Morel Journel N",2,"none"
"Moretti E",1,"none"
"Morillas Ariño C",1,"none"
"Morrison S D",3,"WPATH SOC8"
"Morssinkhof M W",1,"none"
"Mortillaro G",1,"none"
"Moser C N",1,"none"
"Mosser S W",1,"WPATH SOC8"
"Motmans J",2,"WPATH SOC8"
"Motosko C C",1,"none"
"Mouriquand P",1,"none"
"Mullender M G",1,"none"
"Murad M H",1,"none"
"Murphy T E",1,"none"
"Myers J B",1,"none"
"Myers S A",1,"none"
"Nadeau K J",1,"none"
"Nagata J M",1,"none"
"Nagy C",1,"none"
"Nahata L",2,"WPATH SOC8"
"Nash R",2,"none"
"Nasomyont N",1,"none"
"Nath R",2,"none"
"Neira P M",1,"WPATH SOC8"
"Nel W",1,"none"
"Neuville P",2,"none"
"Newman K",1,"none"
"Nguyen A",1,"none"
"Nguyen N N L",1,"none"
"Nguyen T",1,"none"
"Nieder T O",1,"WPATH SOC8"
"Niemi R",1,"none"
"Nokoff N J",1,"none"
"Nolan B J",1,"none"
"Noone C",1,"none"
"Noor I M",1,"none"
"Nordenström A",1,"none"
"Nota N M",3,"none"
"Notini L",1,"none"
"Novakovic B",1,"none"
"Nuñez D G",1,"none"
"Nygren U",1,"WPATH SOC8"
"Oates J M",1,"WPATH SOC8"
"ObedinMaliver J",2,"WPATH SOC8"
"Öberg K",1,"none"
"Ocasio M A",1,"none"
"Oginni O A",1,"none"
"OGorman M A",1,"none"
"Okonta V",2,"none"
"Olakivi O",1,"none"
"Olson K R",4,"none"
"OlsonKennedy J",7,"none"
"OMalley S",2,"ICGDR"
"Omar R",1,"none"
"Oosthoek E D",1,"none"
"Orben A",1,"none"
"Ortiz T L",2,"none"
"Ortmann O",1,"none"
"Osipoff J",1,"none"
"Ouafik M",1,"none"
"Özer M",1,"none"
"Pacaud D",1,"none"
"Pacella R",1,"none"
"Pagkalos G",1,"WPATH SOC8"
"Pakvasa M",1,"none"
"Paldanius M",1,"none"
"Palmer D",1,"SEGM-funded"
"Paluvoi N V",1,"none"
"Panagiotakopoulos L",1,"none"
"Pang K C",5,"none"
"Pang S",1,"none"
"Panozzo D",1,"none"
"Panting H",1,"none"
"Papadakis G",1,"none"
"Papadopoulos F C",1,"none"
"Pariltay E",1,"none"
"Paschedag J",1,"none"
"Pastuszak A W",1,"none"
"Pate V",1,"none"
"Patrascu M",1,"none"
"Patrick L",1,"none"
"Patten S",1,"none"
"Patterson B C",1,"none"
"Patton J",1,"WPATH SOC8"
"Paul K K",1,"none"
"Pazos Guerra M",1,"none"
"Pearce T",1,"none"
"Pearson B",1,"none"
"Peerdeman S M",1,"none"
"Peitzmeier S",1,"none"
"Pence B W",1,"none"
"PérezFernández J I",3,"none"
"Peri A J S",1,"none"
"Perucco F",1,"none"
"Petriceks A C",1,"none"
"Petrie D",1,"none"
"Phanuphak N",1,"WPATH SOC8"
"Pitsiladis Y P",1,"none"
"Pollitt A M",2,"none"
"Ponce M D R",1,"none"
"Popma A",3,"none"
"Poteat T C",1,"none"
"Poudrier G",1,"none"
"Prevelle A P",1,"none"
"Price M N",2,"none"
"Ptak J J",1,"SEGM-funded"
"Pujia C",1,"none"
"Pullen Sansfaçon A",3,"none"
"Pusica S",1,"none"
"Puts D A",2,"none"
"Puustinen N",2,"none"
"Quigley C A",1,"none"
"Quinn É",1,"none"
